Date,Region,Budget,Surplus
08/06/2014,East,1416.252,-363.5374
08/06/2014,South,170.352,10.647
08/06/2014,West,1174.752,208.6836
15/06/2014,Central,1110.802,-18.0584
15/06/2014,South,1441.3,245.021
15/06/2014,West,1792.444,113.6906
22/06/2014,Central,840.9056,12.517600000000002
22/06/2014,East,1027.972,-4.2114
22/06/2014,South,104.01,14.5614
22/06/2014,West,6.24,2.6208
29/06/2014,East,1228.465,0
29/06/2014,South,85.98,22.3548
29/06/2014,West,452.11199999999997,12.1572
06/07/2014,South,232.73600000000002,21.3592
06/07/2014,West,478.48,47.848
13/07/2014,Central,512.358,-14.6388
13/07/2014,East,1284.1260000000002,241.8484
13/07/2014,West,1795.025,-80.1022
20/07/2014,Central,998.112,-154.425
20/07/2014,East,102.54400000000001,-2.8326
20/07/2014,West,302.156,-10.4264
27/07/2014,Central,675.4259999999999,-104.0502
27/07/2014,South,93.59,27.583199999999998
27/07/2014,West,2848.77,129.2047
03/08/2014,South,174.01600000000002,25.124
03/08/2014,West,1586.59,98.01459999999997
10/08/2014,Central,543.11,64.5636
10/08/2014,East,1133.35,294.671
10/08/2014,South,155.456,-7.7728
10/08/2014,West,789.28,109.9974
17/08/2014,East,853.092,-227.4912
17/08/2014,West,292.926,24.8508
24/08/2014,Central,421.372,-6.0196
24/08/2014,East,13.28,6.3744
24/08/2014,South,1139.06,317.55100000000004
24/08/2014,West,293.464,27.2988
31/08/2014,East,10.68,4.0584
31/08/2014,South,1406.1185,202.49210000000002
31/08/2014,West,6.28,2.6376
07/09/2014,Central,1672.225,371.51649999999995
07/09/2014,East,113.078,13.4233
07/09/2014,South,31.984,1.999
07/09/2014,West,41.88,12.1452
14/09/2014,Central,3097.396,-42.1294
14/09/2014,East,5541.272,632.264
14/09/2014,South,155.52800000000002,56.4623
14/09/2014,West,2605.1,297.97960000000006
21/09/2014,Central,1119.674,-485.648
21/09/2014,East,2966.1089999999995,418.1495999999999
21/09/2014,West,109.25500000000001,-32.3981
28/09/2014,Central,300.5328,-97.2312
28/09/2014,East,785.692,161.1966
28/09/2014,South,337.088,16.8544
28/09/2014,West,1771.0390000000002,139.00560000000002
05/10/2014,Central,290.055,-89.1699
05/10/2014,East,1198.458,-66.993
05/10/2014,West,2825.364,472.8026
12/10/2014,East,129.92,21.112
12/10/2014,South,8.92,3.9248
12/10/2014,West,666.262,-28.7142
19/10/2014,Central,5.312,-1.5936
19/10/2014,East,2058.172,279.8102
19/10/2014,South,1166.604,220.2843
19/10/2014,West,1298.55,311.652
26/10/2014,East,503.47799999999995,-109.9674
26/10/2014,South,1049.8300000000002,-25.1211
26/10/2014,West,63.92,3.196
02/11/2014,East,3634.404,-251.3492
02/11/2014,West,763.35,-45.441
09/11/2014,Central,683.144,0
09/11/2014,East,465.97,11.438400000000001
09/11/2014,South,1505.288,-310.0824
09/11/2014,West,851.7739999999999,-31.8192
16/11/2014,Central,1503.2852,26.8541
16/11/2014,East,615.192,-228.1288
16/11/2014,West,1754.7965,172.7035
23/11/2014,Central,1759.3400000000001,-126.2844
23/11/2014,East,5876.372,112.07090000000001
23/11/2014,West,1999.08,6.5746
30/11/2014,Central,1244.1309999999999,-140.3109
30/11/2014,East,1175.038,-3.085
30/11/2014,South,508.75,92.642
30/11/2014,West,1432.988,69.27159999999999
07/12/2014,Central,3829.92,466.23700000000014
07/12/2014,East,2157.9880000000003,-53.7878
07/12/2014,West,333.69,-142.2858
14/12/2014,Central,94.428,-42.4926
14/12/2014,East,136.53,-52.3365
14/12/2014,South,186.304,13.9728
14/12/2014,West,5845.152499999999,353.25690000000003
21/12/2014,Central,837.016,-106.8238
21/12/2014,East,828.836,-93.4348
21/12/2014,South,6225.612,943.3739999999999
21/12/2014,West,3888.348,257.84659999999997
28/12/2014,Central,633.51,-28.3506
28/12/2014,East,1033.2420000000002,132.91150000000002
28/12/2014,South,64.784,6.4784
28/12/2014,West,1299.142,122.3767
04/01/2015,Central,1400.1096,-493.014
04/01/2015,East,3560.742,13.820999999999998
04/01/2015,South,192.22,69.1992
04/01/2015,West,95.46000000000001,32.2074
11/01/2015,East,1018.104,-373.3048
11/01/2015,West,61.584,-6.9282
18/01/2015,Central,254.744,-312.0614
18/01/2015,West,542.45,130.994
25/01/2015,Central,301.742,-21.7122
01/02/2015,Central,53.34,16.5354
01/02/2015,East,181.986,-54.5958
01/02/2015,South,4297.644,-1862.3124
01/02/2015,West,3031.28,81.8496
08/02/2015,Central,28.4,11.076
08/02/2015,East,1643.622,363.936
08/02/2015,West,136.92,41.076
15/02/2015,Central,40.784,-30.588
15/02/2015,West,203.92,22.941
22/02/2015,West,35.544,-0.8886
01/03/2015,Central,1227.9984,-36.1176
01/03/2015,East,493.92,-28.224
01/03/2015,South,551.264,15.566400000000002
01/03/2015,West,184.752,-20.7846
08/03/2015,Central,1751.6619999999998,367.05600000000004
08/03/2015,East,516.547,51.3817
08/03/2015,West,1222.79,261.1385
15/03/2015,South,37.288,5.3018
15/03/2015,West,1384.856,234.4744
22/03/2015,Central,383.4656,-67.6704
22/03/2015,West,307.05,78.4574
29/03/2015,Central,466.83,-65.1582
29/03/2015,South,1166.92,131.2785
29/03/2015,West,3460.5,633.5559999999999
05/04/2015,Central,389.124,-117.8562
05/04/2015,East,1015.5699999999999,-254.728
05/04/2015,West,892.224,89.2224
12/04/2015,South,121.888,24.4176
12/04/2015,West,369.912,-13.8717
19/04/2015,Central,974.188,-158.7661
19/04/2015,East,127.764,2.8392
19/04/2015,South,1720.12,245.2684
19/04/2015,West,990.0799999999999,-97.0118
26/04/2015,Central,536.48,-29.6168
26/04/2015,South,2117.7115,195.4144
26/04/2015,West,63.936,6.3936
03/05/2015,Central,213.115,-15.2225
03/05/2015,East,2176.826,308.13509999999997
03/05/2015,South,63.552,14.2992
03/05/2015,West,665.88,106.5408
10/05/2015,Central,390.25399999999996,-29.131
10/05/2015,East,242.356,65.598
17/05/2015,Central,21.968,-15.9268
17/05/2015,West,1644.7555,168.3751
24/05/2015,Central,677.981,-143.9909
24/05/2015,South,163.136,20.392
31/05/2015,Central,2830.016,675.2968000000001
31/05/2015,East,389.106,-78.1326
31/05/2015,West,1441.83,153.4405
07/06/2015,East,1557.918,181.1772
14/06/2015,East,94.368,9.4368
14/06/2015,South,1374.9600000000003,-119.0799
14/06/2015,West,355.36,92.3936
21/06/2015,Central,197.372,-25.3764
21/06/2015,South,703.976,75.7432
21/06/2015,West,750.5199999999999,99.82280000000002
28/06/2015,Central,871.809,-546.3711
28/06/2015,East,482.94,-376.6932
28/06/2015,South,360.36,89.22840000000001
28/06/2015,West,826.61,103.99
05/07/2015,Central,790.538,-98.6342
05/07/2015,East,589.338,30.165299999999995
05/07/2015,South,240.676,52.401
12/07/2015,Central,391.367,-7.6141
12/07/2015,East,1510.1680000000001,80.416
12/07/2015,West,170.352,-17.0352
19/07/2015,East,2089.4,367.76439999999997
19/07/2015,South,231.92,5.798
19/07/2015,West,2814.006,-296.1249
26/07/2015,Central,1298.374,-178.6776
26/07/2015,East,128.82,50.2398
26/07/2015,South,379.52,45.516400000000004
26/07/2015,West,1925.9850000000001,-106.6578
02/08/2015,Central,155.88,38.97
02/08/2015,East,1201.762,-275.338
02/08/2015,West,1287.7559999999999,-362.2476
09/08/2015,Central,1906.7492,93.671
09/08/2015,East,446.026,-127.4112
09/08/2015,West,144.784,10.8588
16/08/2015,East,555.822,-204.9996
16/08/2015,South,46.152,12.1149
16/08/2015,West,135.79,38.5569
23/08/2015,East,624.442,-46.6446
23/08/2015,West,1130.406,75.2946
30/08/2015,Central,1050.25,-154.9166
30/08/2015,East,299.274,-71.2083
30/08/2015,West,352.61,35.2922
06/09/2015,Central,6.16,2.9568
06/09/2015,East,456.86400000000003,102.93620000000001
06/09/2015,South,153.94,34.5876
06/09/2015,West,2816.902,326.579
13/09/2015,Central,1913.674,377.45779999999996
13/09/2015,East,1090.15,3.280900000000012
13/09/2015,South,151.29000000000002,21.1098
13/09/2015,West,1232.94,201.1793
20/09/2015,Central,21.936,-10.4196
20/09/2015,East,10030.622,-1609.2278
20/09/2015,South,1992.46,511.77099999999996
20/09/2015,West,1168.126,139.8675
27/09/2015,Central,1631.636,411.1296
27/09/2015,East,730.822,162.5042
27/09/2015,South,2255.52,588.7954
27/09/2015,West,2172.8120000000004,286.5654
04/10/2015,East,100.434,-9.1212
04/10/2015,South,392.94,43.2234
04/10/2015,West,131.698,21.488599999999998
11/10/2015,Central,462.75,-35.8632
11/10/2015,South,957.5775,-383.031
11/10/2015,West,865.498,-110.0024
18/10/2015,Central,2601.946,-439.5672
18/10/2015,East,1735.158,145.3904
18/10/2015,South,287.94,77.7438
18/10/2015,West,10.11,3.2352
25/10/2015,Central,347.361,-69.4722
25/10/2015,East,291.1,75.686
25/10/2015,West,3020.4440000000004,8.789000000000012
01/11/2015,East,792.428,141.99220000000003
01/11/2015,South,359.16999999999996,67.3649
01/11/2015,West,764.4570000000001,43.9136
08/11/2015,Central,64.96,-84.448
08/11/2015,East,9889.59,2083.4092
08/11/2015,South,398.25199999999995,68.32740000000001
08/11/2015,West,1948.309,106.27270000000001
15/11/2015,Central,1685.0952000000002,202.482
15/11/2015,East,376.11,83.64330000000001
15/11/2015,South,710.016,-41.2131
15/11/2015,West,1963.864,97.3065
22/11/2015,Central,2864.7388,483.46
22/11/2015,East,2243.75,-566.1368
22/11/2015,South,308.52799999999996,-31.5228
22/11/2015,West,2095.572,73.78760000000004
29/11/2015,Central,1572.962,18.484099999999984
29/11/2015,East,1117.888,139.40519999999998
29/11/2015,South,1067.9295,33.4203
29/11/2015,West,363.68,40.077799999999996
06/12/2015,Central,6.688,-4.0128
06/12/2015,East,2172.408,191.7734
06/12/2015,South,528.2080000000001,49.876200000000004
06/12/2015,West,7346.503000000001,880.7502
13/12/2015,Central,993.9200000000001,233.1232
13/12/2015,East,542.94,141.1644
13/12/2015,South,283.92,70.98
13/12/2015,West,1137.2099999999998,-280.5938
20/12/2015,Central,1604.7,146.8729
20/12/2015,East,1316.028,-36.3146
20/12/2015,South,26.48,5.527200000000001
20/12/2015,West,332.39599999999996,32.248400000000004
27/12/2015,Central,1241.9312,-161.4384
27/12/2015,East,3092.611,-473.2846
27/12/2015,South,460.336,71.0992
27/12/2015,West,3099.98,-329.5354
03/01/2016,Central,1607.61,338.988
03/01/2016,East,173.94,38.2668
10/01/2016,Central,1588.9560000000001,396.1677
10/01/2016,East,15.168,3.792
10/01/2016,West,104.77000000000001,42.0691
17/01/2016,East,559.3789999999999,57.8716
17/01/2016,South,315.776,31.5776
24/01/2016,South,465.408,-63.3888
24/01/2016,West,1336.9460000000001,129.21519999999998
31/01/2016,Central,626.1,-538.446
31/01/2016,East,359.702,-91.5287
31/01/2016,West,483.748,-52.0628
07/02/2016,Central,73.784,-77.4732
07/02/2016,South,1276.134,274.1402
07/02/2016,West,572.096,10.922799999999999
14/02/2016,Central,241.5,0
14/02/2016,East,560.991,-42.5334
21/02/2016,Central,62.958,-2.6982
21/02/2016,East,803.816,186.5698
21/02/2016,South,318.08,34.9888
28/02/2016,Central,16.192,-6.8816
06/03/2016,Central,1506.346,-478.0126
06/03/2016,East,836.592,-264.9208
06/03/2016,West,35.28,11.9952
13/03/2016,Central,557.585,0
13/03/2016,East,1306.3059999999998,83.5148
13/03/2016,South,307.16,68.6203
13/03/2016,West,798.632,84.388
20/03/2016,Central,1483.6619999999998,-6.871
20/03/2016,East,1028.68,272.6801
20/03/2016,South,276.332,-56.903
20/03/2016,West,1621.11,-36.438
27/03/2016,Central,627.8019999999999,-1.4196
27/03/2016,East,301.47,-241.176
27/03/2016,South,60.16,19.8808
27/03/2016,West,167.888,14.6902
03/04/2016,Central,2370.136,364.1448
03/04/2016,East,2359.4629999999997,303.656
03/04/2016,South,7.04,3.0976
10/04/2016,Central,95.984,-4.1136
10/04/2016,East,1130.0900000000001,148.9668
10/04/2016,South,514.8199999999999,120.709
10/04/2016,West,581.365,16.923000000000002
17/04/2016,East,9.96,3.2868
17/04/2016,South,441.66400000000004,95.79400000000001
17/04/2016,West,3529.043,99.2826
24/04/2016,Central,558.8720000000001,-151.9474
24/04/2016,East,205.176,-58.1332
24/04/2016,West,2653.51,-647.8524
01/05/2016,Central,52.952,-42.0348
01/05/2016,East,434.646,62.7822
01/05/2016,South,370.62,-142.071
01/05/2016,West,153.45600000000002,24.9756
08/05/2016,Central,366.744,-110.0232
08/05/2016,East,1052.3439999999998,239.2185
08/05/2016,South,203.776,15.035
08/05/2016,West,2097.344,340.15340000000003
15/05/2016,East,89.404,34.1778
15/05/2016,South,30.192,8.3028
22/05/2016,Central,22.608,-10.1736
22/05/2016,East,423.206,24.817600000000002
22/05/2016,South,641.96,179.7488
22/05/2016,West,1332.04,292.59079999999994
29/05/2016,Central,3951.0299999999997,588.4774
29/05/2016,East,41.37,17.3754
29/05/2016,South,459.99199999999996,-3.605
29/05/2016,West,521.754,-68.5212
05/06/2016,Central,883.1799999999998,-514.4584
05/06/2016,East,197.904,25.9102
05/06/2016,South,2275.5,386.835
05/06/2016,West,1040.496,60.0696
12/06/2016,Central,1091.8400000000001,40.3698
12/06/2016,East,596,53.319599999999994
12/06/2016,West,2360.744,-169.4317
19/06/2016,East,1033.452,-324.471
19/06/2016,West,4005.707,509.87530000000004
26/06/2016,Central,175.64799999999997,-8.6057
26/06/2016,East,813.366,-49.4526
26/06/2016,West,183.70800000000003,-1.6578
03/07/2016,Central,1068.088,-7.7094
03/07/2016,East,121.96,20.7332
03/07/2016,South,1266.86,291.3778
03/07/2016,West,195.184,19.5184
10/07/2016,Central,313.66,-41.608
10/07/2016,East,573.286,87.40960000000001
10/07/2016,West,2496.463,387.3024
17/07/2016,Central,9.552,-3.8208
17/07/2016,East,579.136,21.7176
17/07/2016,South,51.75,15.525
17/07/2016,West,298.25,48.5532
24/07/2016,East,292.83200000000005,43.6872
24/07/2016,South,1195.21,241.7396
24/07/2016,West,1398.3600000000001,51.480000000000004
31/07/2016,Central,1099.1200000000001,-233.7942
31/07/2016,East,177.45,-78.078
31/07/2016,South,2430.08,388.8128
31/07/2016,West,1429.7559999999999,90.46249999999999
07/08/2016,East,19.312,3.1382
07/08/2016,South,109.8,46.116
07/08/2016,West,136.464,15.3522
14/08/2016,Central,241.96,24.196
14/08/2016,East,354.91200000000003,-74.3282
14/08/2016,South,562.2925,-255.5875
14/08/2016,West,513.024,12.8256
21/08/2016,Central,14.896,-5.9584
21/08/2016,East,1388.466,-276.019
21/08/2016,South,225.296,22.5296
21/08/2016,West,3360.366,236.2212
28/08/2016,Central,1651.5367999999999,6.1828
28/08/2016,East,244.615,20.967
28/08/2016,South,186.54,41.0388
28/08/2016,West,2234.168,70.076
04/09/2016,Central,366.96799999999996,-166.0932
04/09/2016,East,1847.984,-265.2506
04/09/2016,South,515.1179999999999,-133.0167
04/09/2016,West,950.694,81.7119
11/09/2016,Central,3951.9756,-675.7474
11/09/2016,East,2081.103,42.276299999999985
11/09/2016,South,1652.94,314.0586
11/09/2016,West,189.17,1.8857
18/09/2016,Central,1336.44,387.5676
18/09/2016,East,1153.826,277.13159999999993
18/09/2016,South,1915.318,254.5066
18/09/2016,West,3783.312,270.10839999999996
25/09/2016,Central,1118.882,46.8875
25/09/2016,East,1614.028,215.84159999999997
25/09/2016,South,497.73,77.54669999999999
25/09/2016,West,2418.911,56.1916
02/10/2016,Central,2201.0378,-446.8207
02/10/2016,East,854.508,-141.9018
02/10/2016,West,619.8054999999999,32.176
09/10/2016,Central,89.792,-61.832
09/10/2016,East,1171.496,44.3236
09/10/2016,South,11.568,2.6028
09/10/2016,West,1084.704,102.9528
16/10/2016,Central,153.92,-156.714
16/10/2016,East,224.442,-4.1886
16/10/2016,South,102.592,10.2592
16/10/2016,West,1007.196,-617.7664
23/10/2016,Central,104.24199999999999,-16.6454
23/10/2016,East,1826.076,52.105599999999995
23/10/2016,South,146.58800000000002,39.190799999999996
23/10/2016,West,1179.758,39.769800000000004
30/10/2016,Central,67,32.16
30/10/2016,East,1302.244,213.7772
30/10/2016,South,567.9480000000001,130.703
06/11/2016,Central,2266.2508000000007,-394.2002
06/11/2016,East,962.99,-27.514
06/11/2016,South,3068.148,9.513800000000003
06/11/2016,West,3058.6820000000002,7.508499999999984
13/11/2016,Central,3203.764,297.6582
13/11/2016,East,3855.182,3.937999999999999
13/11/2016,South,993.9000000000001,261.49559999999997
13/11/2016,West,3293.54,314.3154
20/11/2016,Central,884.894,-65.9232
20/11/2016,East,943.53,18.4024
20/11/2016,South,919.592,-188.6488
20/11/2016,West,31.96,1.598
27/11/2016,Central,1568.61,329.4081
27/11/2016,East,996.2659999999998,22.247400000000006
27/11/2016,South,670.943,-105.8554
27/11/2016,West,6168.484,712.6448
04/12/2016,Central,2376.9359999999997,-306.5211
04/12/2016,East,2878.269,172.67369999999997
04/12/2016,South,182.67,52.9743
04/12/2016,West,649.49,57.7068
11/12/2016,Central,4653.53,1003.0854
11/12/2016,East,882.36,-258.4775
11/12/2016,South,1328.654,204.015
11/12/2016,West,3418.008,-56.3546
18/12/2016,Central,2269.2,358.9332
18/12/2016,East,457.27000000000004,218.37550000000002
18/12/2016,South,133.38,58.6872
18/12/2016,West,5326.941,-654.0499
25/12/2016,Central,143.70000000000002,-14.8938
25/12/2016,East,4867.478,550.5816
25/12/2016,South,1221.9099999999999,394.0694
25/12/2016,West,3948.2490000000007,682.1905999999999
01/01/2017,Central,2122.6620000000003,-141.7487
01/01/2017,East,432.622,34.1096
01/01/2017,West,1523.4940000000001,227.6241
08/01/2017,Central,913.43,-169.637
08/01/2017,West,892.98,80.3682
15/01/2017,Central,231.9,61.766999999999996
15/01/2017,East,37.68,15.8256
22/01/2017,Central,302.67,72.6408
22/01/2017,East,1127.085,-54.6735
22/01/2017,West,512.572,11.8047
29/01/2017,Central,225.89,25.7201
29/01/2017,South,62.72,24.4608
29/01/2017,West,37.74,12.8316
05/02/2017,Central,126.155,-58.7364
05/02/2017,South,419.136,-68.1096
05/02/2017,West,417.624,28.375
12/02/2017,Central,3.984,-2.6892
12/02/2017,East,388.352,26.4088
12/02/2017,South,359.97,79.1934
12/02/2017,West,1188.2389999999998,131.6986
19/02/2017,Central,1178.2764,-298.5981
19/02/2017,East,1385.5439999999999,-110.9524
19/02/2017,West,152.2,33.566900000000004
26/02/2017,South,428.70399999999995,-16.3402
26/02/2017,West,1462.028,-57.2081
05/03/2017,Central,284.48,-30.5702
05/03/2017,East,441.96,101.6508
05/03/2017,West,570.024,-32.0229
12/03/2017,Central,933.408,-173.3472
12/03/2017,East,304.02200000000005,-6.1007
19/03/2017,Central,172.292,-43.8268
19/03/2017,East,51.264,7.6896
19/03/2017,West,728.0899999999999,21.3958
26/03/2017,Central,3856.1500000000005,1030.7740000000001
26/03/2017,East,737.178,33.725
26/03/2017,West,233.98000000000002,82.68299999999999
02/04/2017,Central,2040.4688,-141.3042
02/04/2017,East,44.788,9.5414
02/04/2017,South,1111.2020000000002,156.69170000000003
02/04/2017,West,650.014,148.2302
09/04/2017,Central,580.8599999999999,151.0236
09/04/2017,East,25.472,7.6416
09/04/2017,South,1168.8265,-334.5354
16/04/2017,East,353.47400000000005,35.6073
16/04/2017,South,210.59199999999998,-30.3712
16/04/2017,West,735.9870000000001,26.46139999999999
23/04/2017,Central,376.018,-76.4756
23/04/2017,East,1317.8600000000001,252.41770000000002
23/04/2017,South,465.088,-26.2104
23/04/2017,West,501.39599999999996,59.11900000000001
30/04/2017,Central,222.2536,-43.5509
30/04/2017,East,1048.35,-69.89
30/04/2017,South,244.38400000000001,-2.0604
30/04/2017,West,549.521,88.9294
07/05/2017,Central,2585.5548,430.4759000000001
07/05/2017,East,535.8480000000001,-91.7472
07/05/2017,South,4051.5339999999997,-473.8644
07/05/2017,West,390.895,-141.7008
14/05/2017,Central,907.4259999999999,-19.8455
14/05/2017,East,939.29,-111.2676
14/05/2017,South,207,25.875
14/05/2017,West,800.589,-298.3476
21/05/2017,Central,24.5,-11.1669
21/05/2017,East,534.6099999999999,79.0678
21/05/2017,South,2246.112,414.999
21/05/2017,West,1510.2040000000002,-4.9344
28/05/2017,Central,766.155,54.813900000000004
28/05/2017,East,409.69999999999993,52.4272
28/05/2017,South,301.96,33.2156
28/05/2017,West,206.288,8.276699999999998
04/06/2017,Central,2232.5464,466.0652
04/06/2017,East,384.768,-115.4304
04/06/2017,South,558.69,48.5884
04/06/2017,West,13.592,-0.3398
11/06/2017,Central,132.901,-86.2761
11/06/2017,West,2471.993,189.84959999999998
18/06/2017,Central,479.158,-94.2052
18/06/2017,East,858.24,143.04
18/06/2017,South,1700.196,189.2134
18/06/2017,West,2577.2695,187.66629999999998
25/06/2017,Central,945.4449999999999,61.426500000000004
25/06/2017,East,1667.058,43.72839999999999
25/06/2017,West,921.72,169.2724
02/07/2017,Central,1827.0452,-293.5544
02/07/2017,East,1922.486,-60.4441
02/07/2017,South,293.072,-8.3096
02/07/2017,West,562.299,45.5454
09/07/2017,Central,858.4780000000001,-317.0424
09/07/2017,East,528.558,-107.6696
09/07/2017,South,263.23,29.441699999999997
09/07/2017,West,1157.576,322.1094
16/07/2017,East,1533.8890000000001,206.9335
16/07/2017,South,1134.132,180.189
16/07/2017,West,295.53,57.717
23/07/2017,Central,842.48,-74.7922
23/07/2017,East,585.508,57.004400000000004
23/07/2017,South,319.644,75.7218
23/07/2017,West,2694.605,-248.4301
30/07/2017,Central,600.7860000000001,68.382
30/07/2017,East,173.574,-27.6123
30/07/2017,South,285.88,9.9022
30/07/2017,West,502.192,81.3124
06/08/2017,Central,183.372,-36.6744
06/08/2017,South,161.14000000000001,30.7104
06/08/2017,West,160.92,22.613999999999997
13/08/2017,Central,121.3,25.473
13/08/2017,East,1779.9,373.779
13/08/2017,South,455.632,47.6604
13/08/2017,West,313.854,61.194199999999995
20/08/2017,Central,91.376,-24.37
20/08/2017,East,5017.178,-487.0748
20/08/2017,West,484.236,27.6483
27/08/2017,Central,64.96,-43.848
27/08/2017,East,2051.016,-430.8192
27/08/2017,South,869.184,225.6816
27/08/2017,West,1869.4279999999999,242.85190000000003
03/09/2017,Central,606.66,28.84020000000001
03/09/2017,East,1951.0130000000004,173.1278
03/09/2017,West,3342.5679999999998,485.67150000000004
10/09/2017,Central,1960.713,-697.8487
10/09/2017,East,224.508,-55.8584
10/09/2017,South,111.32,10.3148
10/09/2017,West,3742.2839999999997,32.9488
17/09/2017,Central,830.6200000000001,-143.186
17/09/2017,East,2232.09,349.5906
17/09/2017,South,758.424,194.2574
17/09/2017,West,4799.407999999999,454.37730000000005
24/09/2017,Central,1366.344,207.4388
24/09/2017,East,5621.119999999999,1043.4256999999998
24/09/2017,South,20.32,6.9088
24/09/2017,West,1486.336,-172.5648
01/10/2017,Central,269.97,51.2943
01/10/2017,East,964.9200000000001,-89.7476
01/10/2017,South,419.136,-57.6312
01/10/2017,West,735.55,35.6978
08/10/2017,Central,157.74,56.7864
08/10/2017,East,471.046,36.10959999999999
08/10/2017,South,2520.264,-1026.6153
08/10/2017,West,1470.558,-424.4483
15/10/2017,Central,1477.5910000000001,-578.8014
15/10/2017,East,3228.964,63.206800000000015
15/10/2017,South,1504.52,346.0396
15/10/2017,West,542.4200000000001,19.3826
22/10/2017,Central,930.7642000000001,-41.6201
22/10/2017,East,888.2239999999999,114.0112
22/10/2017,South,2648.842,-914.9543
22/10/2017,West,1289.769,-94.582
29/10/2017,Central,517.405,-81.3065
29/10/2017,East,1193.4,-47.0592
29/10/2017,South,434.802,76.25489999999999
29/10/2017,West,746.241,16.0278
05/11/2017,Central,267.198,-76.631
05/11/2017,East,561.876,-37.7324
05/11/2017,South,1549.616,110.89250000000001
05/11/2017,West,6192.15,363.6827
12/11/2017,Central,395.368,-465.0212
12/11/2017,East,1121.424,25.565799999999975
12/11/2017,South,117.19200000000001,20.8107
12/11/2017,West,4684.582,200.75690000000003
19/11/2017,Central,2369.309,-381.809
19/11/2017,East,422.68399999999997,78.6478
19/11/2017,South,1381.08,268.7048
19/11/2017,West,3034.5620000000004,242.97580000000002
26/11/2017,Central,2256.879,309.2645
26/11/2017,East,1802.8220000000001,227.5834
26/11/2017,South,1663.028,75.0366
26/11/2017,West,1192.167,-31.2198
03/12/2017,Central,386.342,-16.8634
03/12/2017,East,8364.310000000001,208.60660000000007
03/12/2017,South,2975.5299999999997,-416.982
03/12/2017,West,4281.99,46.57509999999999
10/12/2017,Central,1342.568,262.5324
10/12/2017,East,1838.1860000000004,111.16369999999999
10/12/2017,South,116.244,35.549400000000006
10/12/2017,West,5497.406,110.47330000000002
17/12/2017,Central,1897.884,-499.495
17/12/2017,East,1002.6039999999999,-27.1976
17/12/2017,South,1291.5590000000002,-351.363
17/12/2017,West,447.77200000000005,97.9313
24/12/2017,Central,2721.88,609.7419
24/12/2017,East,1900.9820000000002,302.1637
24/12/2017,South,1382.5,-134.198
24/12/2017,West,1268.6809999999998,-220.1802
31/12/2017,Central,203.1528,-18.6316
31/12/2017,East,830.1400000000001,-76.8462
31/12/2017,South,2093.02,560.8351
31/12/2017,West,911.252,-17.3604
