Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne],Cost_GHG [Euro per tonnes CO2eq],Cost_NOx [Euro per tonne],Cost_PM2.5 [Euro per tonne],Cost_PM10 [Euro per tonne],Cost_SOx [Euro per tonne],Cost_NMVOC [Euro per tonne],Cost_NH3 [Euro per tonne],Cost_Pb [Euro per kg],Cost_Cd [Euro per kg],Cost_Hg [Euro per kg],Cost_As [Euro per kg],Cost_Ni [Euro per kg],Cost_Cr [Euro per kg],GDP per capita,External cost GHG,External cost NOx,External cost PM2.5,External cost PM10,External cost SOx,External cost NMVOC,External cost NH3,External cost Pb,External cost Cd,External cost Hg,External cost As,External cost Ni,External cost Cr,Total external cost,GrDP [million Euro],GrDP per capita [Euro],Share external cost [%]
Portugal,1995,91015.8,10008659.0,63857.34,289670,70580,105290,321990,238610,72610,790,3,2,4,116,13,105,31431.0,234012,151956,35284.0,2221.0,25361,32531,185175,16903,11044,24,3129,9093.705760182258,6705.020699999999,9104.61777,16516.56696,15999.44724,11361.09516,529.95281,1841.46221,25699.49,555.525,33.806,44.176,2.784,40.677,88434.62085,2581.1791499999963,257.894604062342,97.16403179447964
Romania,1995,28589.8,22712394.0,155071.78,353870,72300,113800,696080,268220,248020,356,4,3,37,64,19,105,52412.0,217324,141119,61831.0,3748.0,48662,32531,185175,16903,11044,24,3129,1258.7752748565388,16282.536900000001,18547.03444,15712.5252,16059.3422,43039.32248,1005.28856,12069.14924,11581.036,740.7,50.709,408.628,1.536,59.451,135557.25902,-106967.45902,-4709.651436127781,474.1455309935711
Slovenia,1995,16340.4,1989477.0,13561.91,73690,13650,16460,124520,61940,21430,23,1,0,1,2,1,105,84406.0,373078,242259,93509.0,10127.0,80401,32531,185175,16903,11044,24,3129,8213.414882403767,1424.00055,6219.87814,5092.5147,3987.58314,11643.74068,627.26638,1722.99343,748.213,185.175,0.0,11.044,0.048,3.129,31665.586020000002,-15325.186020000003,-7703.122991620412,193.78709223764415
Slovakia,1995,15322.9,5356207.0,42665.99,108540,50770,59960,120350,179540,38750,49,1,2,2,4,4,105,50306.0,233434,151580,60571.0,5753.0,104309,32531,185175,16903,11044,24,3129,2860.774424886865,4479.92895,5460.21324,11851.44418,9088.7368,7289.71985,1032.89362,4041.97375,1594.019,185.175,33.806,22.088,0.096,12.516,45092.61039000001,-29769.710390000007,-5557.983548806087,294.28248171038126
Finland,1995,102643.6,5098754.0,58572.88,273110,32500,51660,104550,203160,33420,73,2,1,5,47,36,105,14520.0,65365,42445,17104.0,634.0,13649,32531,185175,16903,11044,24,3129,20131.114385985285,6150.152399999999,3965.5572,2124.3625,2192.7087,1788.2232,128.80344,456.14958,2374.763,370.35,16.903,55.22,1.128,112.644,19736.965019999996,82906.63498,16260.175521313638,19.228636778133264
Sweden,1995,204328.5,8816381.0,36887.13,249640,41890,62100,70780,278590,61100,29,1,1,2,30,12,105,18625.0,53538,34765,20187.0,932.0,17421,32531,185175,16903,11044,24,3129,23176.006118610345,3873.14865,4649.545,2242.70682,2158.9065,1428.83586,259.64588,1064.4231,943.399,185.175,16.903,22.088,0.72,37.548,16883.04481,187445.45519,21261.042959690603,8.2626969854915
Norway,1995,116241.0,4348410.0,36187.88,219900,43100,52080,34550,401360,28160,25,1,1,3,0,12,105,16865.64706,56741,36845,15510.52941,1117.0,9684,32531,185175,16903,11044,24,3129,26731.839913899563,3799.7273999999998,3708.755788494,2445.5371,1918.8876,535.8887911155,448.31912,272.70144,813.275,185.175,16.903,33.132,0.0,37.548,14215.8502396095,102025.1497603905,23462.63341322242,12.229635188624924
Switzerland,1995,270155.4,7019019.0,48986.59,115870,14020,21930,26120,208600,66010,171,2,4,0,0,0,105,143134.2577,306655,199126,232060.8763,12280.68085,65004,32531,185175,16903,11044,24,3129,38489.05381222077,5143.591949999999,16584.966439699,4299.3031,4366.83318,6061.430088956,2561.7500253099997,4290.91404,5562.801,370.35,67.612,0.0,0.0,0.0,49309.551823965005,220845.848176035,31463.919413244927,18.25229176391255
United Kingdom,1995,1025809.9,57943472.0,755704.57,2663020,192970,294630,2546540,2334200,298260,1563,12,20,37,361,132,105,55633.0,268250,174188,117414.0,4722.0,102606,32531,185175,16903,11044,24,3129,17703.63191215052,79348.97984999999,148151.79166,51764.2025,51321.01044,298999.44756,11022.0924,30603.26556,50845.953,2222.1,338.06,408.628,8.664,413.028,725447.22297,300362.67703,5183.719005136592,70.71946010367029
Belgium,1996,219965.3,10143047.0,154827.76,400910,43470,59680,247610,297470,135280,210,4,3,6,84,33,105,67427.0,512037,332491,159275.0,7953.0,162801,32531,185175,16903,11044,24,3129,21686.313787168685,16256.9148,27032.15857,22258.24839,19843.06288,39438.08275,2365.77891,22023.71928,6831.51,740.7,50.709,66.264,2.016,103.257,157012.42158000002,62952.878419999965,6206.505640760608,71.38054119445205
Bulgaria,1996,9829.8,8384715.0,55146.31,178650,22340,45910,1271170,131580,60980,362,4,2,18,33,10,105,39770.0,309647,201070,46368.0,2791.0,58106,32531,185175,16903,11044,24,3129,1172.3475395407,5790.36255,7104.9105,6917.51398,9231.1237,58941.61056,367.23978,3543.30388,11776.222,740.7,33.806,198.792,0.792,31.29,104677.66695,-94847.86695,-11311.996525821092,1064.9012894463774
Czechia,1996,53088.1,10321344.0,151023.61,369060,120990,162760,914440,391190,117320,266,2,4,9,25,17,105,49118.0,282451,183409,71277.0,8138.0,131699,32531,185175,16903,11044,24,3129,5143.525881900652,15857.479049999998,18127.48908,34173.74649,29851.64884,65178.53988,3183.50422,15450.92668,8653.246,370.35,67.612,99.396,0.6,53.193,191067.73124,-137979.63124,-13368.37830809631,359.9068929571787
Denmark,1996,147843.4,5251027.0,96846.1,324090,24200,35570,176170,214360,104670,25,1,2,1,14,4,105,25320.0,124113,80593,54274.0,1483.0,25524,32531,185175,16903,11044,24,3129,28155.139937387485,10168.8405,8205.9588,3003.5346,2866.69301,9561.45058,317.89588,2671.59708,813.275,185.175,33.806,11.044,0.336,12.516,37852.12245,109991.27755,20946.62197509173,25.60284899427367
Germany,1996,1967956.2,81817499.0,1105254.91,2113640,193760,330150,1484160,2243120,622650,539,20,20,9,195,87,105,74688.0,266647,173147,116457.0,5720.0,90548,32531,185175,16903,11044,24,3129,24052.998735637222,116051.76555,157863.54432,51665.52272,57164.48205,172840.82112,12830.6464,56379.7122,17534.209,3703.5,338.06,99.396,4.68,272.223,646748.56236,1321207.6376399999,16148.228114868187,32.86397138107037
Estonia,1996,3770.0,1425192.0,17877.33,53080,19180,43680,126060,42030,9340,69,1,1,10,11,10,105,7116.0,26735,17360,6789.0,508.0,15020,32531,185175,16903,11044,24,3129,2645.257621429253,1877.11965,377.71728,512.7773,758.2848,855.82134,21.35124,140.2868,2244.639,185.175,16.903,110.44,0.264,31.29,7132.06941,-3362.06941,-2359.029106253754,189.1795599469496
Ireland,1996,59701.5,3620065.0,67634.27,175360,23690,38950,150090,137230,119840,83,1,1,2,25,5,105,29855.0,50219,32609,77934.0,1779.0,15632,32531,185175,16903,11044,24,3129,16491.83094778685,7101.59835,5235.3728,1189.68811,1270.12055,11697.11406,244.13217,1873.33888,2700.073,185.175,16.903,22.088,0.6,15.645,31551.848919999997,28149.651080000003,7776.007082745753,52.84934033483245
Greece,1996,114908.2,10588332.0,110238.47,409080,65530,91570,514220,309120,79420,401,8,2,3,47,7,105,26670.0,145705,94614,36550.0,3480.0,41129,32531,185175,16903,11044,24,3129,10852.34199305424,11575.03935,10910.1636,9548.04865,8663.80398,18794.741,1075.7376,3266.46518,13044.931,1481.4,33.806,33.132,1.128,21.903,78450.29935999999,36457.90064000001,3443.214723527748,68.27215060369929
Spain,1996,506362.6,39808374.0,287059.83,1316120,173820,251250,1550430,977960,472270,821,24,11,14,160,30,105,42135.0,201671,130955,71915.0,3611.0,22806,32531,185175,16903,11044,24,3129,12720.002077954754,30141.282150000003,55454.7162,35054.45322,32902.44375,111499.17345,3531.41356,10770.58962,26707.951,4444.2,185.933,154.616,3.84,93.87,310944.48195000004,195418.11804999993,4908.970108902211,61.4074740018319
France,1996,1265105.4,59522297.0,522218.87,1841340,409360,519970,924970,2416840,652650,1289,17,20,17,221,182,105,63655.0,208191,135189,111252.0,6209.0,42588,32531,185175,16903,11044,24,3129,21254.310800539166,54832.98135,117210.4977,85225.06776,70294.22433,102904.76244,15006.15956,27795.0582,41932.459,3147.975,338.06,187.748,5.304,569.478,519449.7753400001,745655.6246599997,12527.332818825855,41.05980223782146
Croatia,1996,19230.3,4581167.0,15161.26,87970,40310,50790,61820,122550,43020,209,1,0,1,13,3,105,59833.0,192306,124874,79013.0,5231.0,59914,32531,185175,16903,11044,24,3129,4197.6858734903135,1591.9323,5263.50901,7751.85486,6342.35046,4884.58366,641.05905,2577.50028,6798.979,185.175,0.0,11.044,0.312,9.387,36057.68662000001,-16827.38662000001,-3673.165946580862,187.5045455349111
Italy,1996,1033759.7,56844197.0,502823.91,1915830,214970,275290,1213270,2007360,445650,1887,10,14,26,109,50,105,108205.0,592650,384838,93754.0,15642.0,93026,32531,185175,16903,11044,24,3129,18185.8440185196,52796.51055,207302.38515,127401.9705,105942.05302,113748.91558,31399.12512,41457.0369,61385.997,1851.75,236.642,287.144,2.616,156.45,743968.5958199998,289791.10418000014,5097.989231512939,71.96726626313638
Cyprus,1996,7890.1,656333.0,7048.88,21000,2610,5000,41640,13350,9530,26,0,0,0,8,0,105,15126.0,48390,31422,18211.0,889.0,14690,32531,185175,16903,11044,24,3129,12021.489091665359,740.1324000000001,317.646,126.2979,157.11,758.30604,11.86815,139.9957,845.806,0.0,0.0,0.0,0.192,0.0,3097.35419,4792.74581,7302.308142360662,39.25620955374456
Latvia,1996,4703.6,2469531.0,-2369.79,51000,29570,34030,55670,64570,15660,123,1,0,9,11,2,105,19176.0,98627,64043,28699.0,665.0,17100,32531,185175,16903,11044,24,3129,1904.6531507399586,-248.82795,977.976,2916.40039,2179.38329,1597.67333,42.93905,267.786,4001.313,185.175,0.0,99.396,0.264,6.258,12025.73611,-7322.1361099999995,-2964.990562985441,255.67089272046942
Lithuania,1996,6601.8,3615212.0,24268.56,77290,8370,10080,76220,84500,38510,4,0,0,0,15,1,105,18399.0,62144,40353,25598.0,647.0,20560,32531,185175,16903,11044,24,3129,1826.116974606192,2548.1988,1422.05871,520.14528,406.75824,1951.07956,54.6715,791.7656,130.124,0.0,0.0,0.0,0.36,3.129,7828.29069,-1226.4906899999996,-339.25830352410856,118.57812551122421
Luxembourg,1996,16462.1,411600.0,9612.06,35080,7570,8800,8780,20040,5890,9,0,0,0,0,0,105,71957.0,247472,160696,150219.0,4640.0,82776,32531,185175,16903,11044,24,3129,39995.38386783284,1009.2662999999999,2524.25156,1873.36304,1414.1248,1318.92282,92.9856,487.55064,292.779,0.0,0.0,0.0,0.0,0.0,9013.24376,7448.856239999999,18097.318367346936,54.751482253175475
Hungary,1996,36758.4,10321229.0,77344.44,195310,53200,75910,612050,202510,79630,114,2,2,3,17,12,105,68921.0,261548,169836,77634.0,4795.0,74316,32531,185175,16903,11044,24,3129,3561.4363366998255,8121.166200000001,13460.96051,13914.3536,12892.25076,47515.8897,971.03545,5917.78308,3708.534,370.35,33.806,33.132,0.408,37.548,106977.21729999999,-70218.8173,-6803.3387593667385,291.02794816967
Malta,1996,3010.6,378404.0,2797.32,9790,890,1160,10180,3360,1930,0,0,0,0,5,0,105,7158.0,150194,97529,17076.0,2486.0,87032,32531,185175,16903,11044,24,3129,7956.046976247609,293.71860000000004,70.07682,133.67266,113.13364,173.83368,8.35296,167.97176,0.0,0.0,0.0,0.0,0.12,0.0,960.88012,2049.7198799999996,5416.750034354816,31.91656546867734
Netherlands,1996,354929.1,15493889.0,246557.07,548980,42170,57740,123710,405930,222390,105,3,1,1,71,7,105,79400.0,294599,191298,135753.0,6051.0,112156,32531,185175,16903,11044,24,3129,22907.683151725174,25888.49235,43589.012,12423.23983,11045.54652,16794.00363,2456.28243,24942.37284,3415.755,555.525,16.903,11.044,1.704,21.903,141161.7836,213767.31639999998,13796.87929867059,39.77182586606734
Austria,1996,186968.1,7953067.0,71841.66,215960,25280,38930,43940,238760,62700,20,1,1,0,0,0,105,75781.0,227195,147529,113124.0,8226.0,75613,32531,185175,16903,11044,24,3129,23508.93057986309,7543.3743,16365.66476,5743.4896,5743.30397,4970.66856,1964.03976,4740.9351,650.62,185.175,16.903,0.0,0.0,0.0,47924.17405,139043.92595,17483.05728469281,25.632273125736422
Poland,1996,126200.8,38609399.0,424232.47,1110090,256070,451630,2107100,930390,367890,580,11,14,59,176,53,105,27011.0,129265,83938,42598.0,3070.0,70606,32531,185175,16903,11044,24,3129,3268.6548682096814,44544.409349999994,29984.64099,33100.88855,37908.91894,89758.2458,2856.2973,25975.24134,18867.98,2036.925,236.642,651.596,4.224,165.837,286091.84627,-159891.04627,-4141.246701871739,226.6957469920951
Portugal,1996,96626.8,10043693.0,58058.42,270870,71030,101030,262890,239920,74220,321,3,3,3,92,12,105,31431.0,234012,151956,35284.0,2221.0,25361,32531,185175,16903,11044,24,3129,9620.644517907906,6096.134099999999,8513.71497,16621.87236,15352.11468,9275.81076,532.86232,1882.29342,10442.451,555.525,50.709,33.132,2.208,37.548,69396.37560999999,27230.424390000015,2711.196408532202,71.8189732144705
Romania,1996,29035.4,22656145.0,158844.76,392430,109660,151910,698710,314150,249110,344,5,3,36,70,20,105,52412.0,217324,141119,61831.0,3748.0,48662,32531,185175,16903,11044,24,3129,1281.5684221653771,16678.699800000002,20568.04116,23831.74984,21437.38729,43201.93801,1177.4342,12122.19082,11190.664,925.875,50.709,397.584,1.68,62.58,151646.53311999998,-122611.13311999998,-5411.826818728428,522.2815360559867
Slovenia,1996,16946.1,1990266.0,13597.71,75490,13700,16630,115910,65470,20690,11,1,0,1,3,1,105,84406.0,373078,242259,93509.0,10127.0,80401,32531,185175,16903,11044,24,3129,8514.490022941656,1427.7595499999998,6371.80894,5111.1686,4028.76717,10838.62819,663.01469,1663.49669,357.841,185.175,0.0,11.044,0.072,3.129,30661.90483,-13715.804830000001,-6891.443068413971,180.93782539935444
Slovakia,1996,17053.2,5367790.0,42570.0,108570,47030,57210,117860,172780,39170,48,1,2,2,4,5,105,50306.0,233434,151580,60571.0,5753.0,104309,32531,185175,16903,11044,24,3129,3176.949917936432,4469.85,5461.72242,10978.40102,8671.8918,7138.89806,994.00334,4085.78353,1561.488,185.175,33.806,22.088,0.096,15.645,43618.84817,-26565.648169999997,-4949.084850562335,255.7810157037975
Finland,1996,104142.2,5116826.0,57442.23,277450,31640,50230,109080,195660,34470,49,2,1,9,37,33,105,14520.0,65365,42445,17104.0,634.0,13649,32531,185175,16903,11044,24,3129,20352.890639626985,6031.43415,4028.574,2068.1486,2132.01235,1865.70432,124.04844,470.48103,1594.019,370.35,16.903,99.396,0.888,103.257,18905.21589,85236.98410999999,16658.17522620468,18.153271094714725
Sweden,1996,229771.3,8837496.0,38844.1,244940,41320,61190,69150,273700,61180,24,1,1,1,30,11,105,18625.0,53538,34765,20187.0,932.0,17421,32531,185175,16903,11044,24,3129,25999.593097411303,4078.6305,4562.0075,2212.19016,2127.27035,1395.93105,255.0884,1065.81678,780.744,185.175,16.903,11.044,0.72,34.419,16725.93974,213045.36026,24106.982369214085,7.279385954642726
Norway,1996,128671.9,4369957.0,39999.55,230440,43940,53070,33640,404770,28740,13,1,1,3,0,12,105,16865.64706,56741,36845,15510.52941,1117.0,9684,32531,185175,16903,11044,24,3129,29444.660439450545,4199.95275,3886.5197085063996,2493.19954,1955.36415,521.7742093523999,452.12809,278.31816,422.903,185.175,16.903,33.132,0.0,37.548,14482.917607858799,114188.98239214119,26130.45903933178,11.255695771849798
Switzerland,1996,268398.8,7062354.0,48052.24,110100,13860,21640,24690,197060,64590,147,2,4,0,0,0,105,143134.2577,306655,199126,232060.8763,12280.68085,65004,32531,185175,16903,11044,24,3129,38004.155554932535,5045.4852,15759.081772769998,4250.2383,4309.08664,5729.583035847,2420.030968301,4198.60836,4782.057,370.35,67.612,0.0,0.0,0.0,46932.13327691799,221466.666723082,31358.760368438343,17.485969861608172
United Kingdom,1996,1114850.1,58094587.0,775443.32,2570560,190460,294230,2167140,2273290,307980,1327,11,15,36,349,125,105,55633.0,268250,174188,117414.0,4722.0,102606,32531,185175,16903,11044,24,3129,19190.257777372615,81421.5486,143007.96448,51090.895,51251.33524,254452.57596,10734.47538,31600.59588,43168.637,2036.925,253.545,397.584,8.376,391.125,669815.5825400001,445034.51746,7660.51607286579,60.0812237035275
Belgium,1997,223032.7,10170226.0,146814.29,385800,42650,58590,225550,281580,135280,229,4,4,5,64,32,105,67427.0,512037,332491,159275.0,7953.0,162801,32531,185175,16903,11044,24,3129,21929.964978162727,15415.500450000001,26013.3366,21838.37805,19480.64769,35924.47625,2239.40574,22023.71928,7449.599,740.7,67.612,55.22,1.536,100.128,151350.25905999998,71682.44094000003,7048.264309957323,67.86012053837844
Bulgaria,1997,10064.7,8340936.0,51813.38,151510,20540,45210,1224410,108370,58330,271,4,2,18,28,9,105,39770.0,309647,201070,46368.0,2791.0,58106,32531,185175,16903,11044,24,3129,1206.663137086773,5440.4048999999995,6025.5527,6360.14938,9090.3747,56773.44288,302.46067,3389.32298,8815.901,740.7,33.806,198.792,0.672,28.161,97199.74020999999,-87135.04020999999,-10446.674115470973,965.7490060309794
Czechia,1997,54857.3,10309137.0,147533.37,339430,95400,126650,694460,370300,109930,250,2,4,6,20,13,105,49118.0,282451,183409,71277.0,8138.0,131699,32531,185175,16903,11044,24,3129,5321.231059399056,15491.00385,16672.12274,26945.8254,23228.74985,49499.02542,3013.5014,14477.67107,8132.75,370.35,67.612,66.264,0.48,40.677,158006.03273,-103148.73273,-10005.564261101585,288.03100540857827
